,text
48,"RT @hihowareyouproj: Jeremiah here to remind you that prioritizing your #mentalhealth is a radical act of kindness. 🐸 It benefits you, thos…"
49,"Shrooms capsules 💊 
#shroomscapsules #shrooms #psilocybin #cubensis #mentalhealth #psychedelicsuk #uk #london #nft… https://t.co/hkzQPVWZAK"
50,"Does #SchizoaffectiveDisorder Make Me #SociallyAwkward? New. | https://t.co/hYk32aJfQY
--
#socialanxiety… https://t.co/LG6tiJ10Gu"
51,#christmas2022 | Best Coursera Courses for Foundations of Positive Psychology Specialization… https://t.co/sF6LjF92xU
52,RT @liverpoolshine: Looking forward to tomorrow’s self-esteem sessions at @KensingPrimary Always lots of fun and smiley faces 🙂 @educationg…
53,"Have you noticed any of these signs in people around you?

#narcissistquotes #mentalhealth #mindsjournal… https://t.co/UT7PqKbuB9"
54,Maintaining a robust people analytics program that nurtures your employees and improves retention and success of th… https://t.co/yUuTqdH9lE
55,"Why There Are No Negative Emotions

https://t.co/vbSvYJXDly

#mentalhealth #wellbeing #blogshare #blogger"
56,"2023 Cybersecurity Predictions

https://t.co/gwYUgVGZm0

#infosec #cybersecurity #healthcare #healthcaretech… https://t.co/Dl21095TSS"
57,"RT @Jordan4MLA: To access #MentalHealth support, most Albertans have to pay for it, frequently costing hundreds or even thousands of dollar…"
58,"Shroom capsules 💊 
#shroomcapsules #microdose #psilocybin #cubensis #goodhits #goodtrip #potency #psychedelicsuk… https://t.co/zdH2hwVCgy"
59,"RT @TUBEVRCLUB: QUEST 2 GIVEAWAY!👀

Enter now! ⬇️
https://t.co/TF7hoetkO7

To celebrate raising $24k for @YouAreRAD this year we are giving…"
60,RT @bulliedbrain: I fully support @RobKoehler2 @Gym4ChangeCan @kimshore2022 @ciaramccormack in their call for a Judicial Inquiry It's time…
61,"Blue Xanax bars 
#xanaxbars #alprazolam #Psychedelicsuk #uk #london #England #nft #java #javascript #rave… https://t.co/u8qx2jsgbR"
62,"Love the message Mina! Be good to yourself, especially over the holidays. 

Between all the busy Christmas parties,… https://t.co/fD28Kwfps3"
63,"RT @JayRuderman: Resources for adolescent and family #mentalhealth support. If you like it, share it. If you think it could help someone, s…"
64,"#Burnout 
#Health 
#healthcare 
#HealthForAll 
#healthiswealth 
#healthylifestyle
#HealthyLiving
#HealthTips… https://t.co/99x9zvh1gP"
65,"Valium 5mg get rid of anxiety and agitation caused by alcohol withdrawal
#valium #diazepam #mentalhealth… https://t.co/rPR7c0WwRT"
66,"RT @TUBEVRCLUB: QUEST 2 GIVEAWAY!👀

Enter now! ⬇️
https://t.co/TF7hoetkO7

To celebrate raising $24k for @YouAreRAD this year we are giving…"
67,"RT @brokenadultsNFT: We have a very important rule here at Teddy Bears for Broken Adults:

""Speak on your experience, not on the experience…"
68,"Xanax bars 
#xanax #alprazolam #anxiety #psychedelicsuk #uk #london #nft #javascript #java #rave #trancefamily… https://t.co/Y0Vm4Br1SY"
69,Stop Stigmatizing Mentally Ill Children on Medication | #Bipolar #Burble | https://t.co/U7XZOVsL8g #mentalhealth… https://t.co/8MyheuVltq
70,"RT @EmmaGri32745010: We are ill, we are poor, we don't need less; we need more! #Medicare #psychology #disability #mentalillness #JobSeeker…"
71,"RT @Neeraj10z: In the World @UNESCO Heritage     , Humayun Tomb, I gave a speech on preserving the environment If there is Nature then ther…"
72,"We have a very important rule here at Teddy Bears for Broken Adults:

""Speak on your experience, not on the experie… https://t.co/ujyryumf4c"
73,Choose kindness always. #mentalhealth https://t.co/62p2SHv5zt
74,"One way to take care of your mental health is to talk to mental health expert, and one way to do that is with Globe… https://t.co/5xBwcC4Kzt"
75,"RT @upasanakonidela: my mental health is good when I:Eat right,Sleep well,Stay calm &amp; workout

☝️ doesn’t happen too often! 

Does that mea…"
76,"RT @angling_times: IT'S OFFICIAL: FISHING REALLY IS A LIFE-SAVER! 😍🎣

Study provides ground-breaking new evidence of angling's positive imp…"
77,"RT @NatChrisRod: Going live with Marla and Dave this evening at 6 pm pst. 

Visit their website: https://t.co/P8Qf0zWPKW

#podcast #podcast…"
78,"RT @NatChrisRod: Going live with Marla and Dave this evening at 6 pm pst. 

Visit their website: https://t.co/P8Qf0zWPKW

#podcast #podcast…"
79,"RT @Jordan4MLA: To access #MentalHealth support, most Albertans have to pay for it, frequently costing hundreds or even thousands of dollar…"
80,"RT @atai_life: #ICYMI: @thetimes' Science Editor @Ben_Spencer wrote a special report on #mentalhealth &amp; #psychedelics 

“Between [atai and…"
81,"RT @Jordan4MLA: To access #MentalHealth support, most Albertans have to pay for it, frequently costing hundreds or even thousands of dollar…"
82,"RT @LizAshallPayne: What are the top reasons why people choose digital to support their #MentalHealth?..... take a look, do you agree?

 #d…"
83,"RT @hihowareyouproj: Jeremiah here to remind you that prioritizing your #mentalhealth is a radical act of kindness. 🐸 It benefits you, thos…"
84,RT @ThriveMovement: Don’t let yourself stagnate! #thrive #freedom #psychology #mentalhealth #depression #anxiety #emptiness #angst #movemen…
85,"RT @Jordan4MLA: To access #MentalHealth support, most Albertans have to pay for it, frequently costing hundreds or even thousands of dollar…"
86,"#ParentalDepression #depression #mentalhealth 

#SensoryProcessingDisorder Parental Burnout… https://t.co/zqkDWmYAWf"
87,RT @JimmyLeafTender: #PurplePeople #MentalHealth #Kindness
88,"Good morning team.

So.

I *was* thinking about stepping away from Twitter, but it seems there’s one more fight.

T… https://t.co/iiDeEB8j3R"
89,This is probably how racism happens sometimes. Click here to view. https://t.co/RkMY0LCgxr #mentalhealth… https://t.co/HkhkB934mz
90,@benzosarebad @_eleven13_ @atomicaceso @TruthCampaigns @ElizabethlGray1 It’s really saddening to see how stigma aga… https://t.co/hRMIxEwz5K
91,We need better #mentalhealth support in schools to tackle the youth mental health crisis. Read more about how North… https://t.co/vSZ3ZVEKM6
92,"RT @allan_squat: 1/2. Mukama gift 11 and Esimu Eric 10,from mafubira slum,Jinja, played for Jinja SS cc against Tornado A in the men's nati…"
93,"RT @MicrodoseHQ: When will MDMA be approved by the FDA?

#psychedelic #medicine #research #science #clinical #doctors #regulation #MentalHe…"
94,"RT @SpeakOurStories: “I live my life in the present with courage, purpose, and confidence. It wasn’t always this way. It took work to get h…"
95,"RT @ZacharyClay2017: HOLLOW HEADS                           
(This one means a lot to me)                     
@procreate #mentalhealth #pr…"
96,"RT @PhoebsBo: UK friends, I have a favour to ask. There’s an availability problem with one of my meds and I’m hoping someone might be able…"
97,RT @FluidMotionTC: After the blow of not getting @ace_national #NPO funding we knew it was time to regroup. Our future is still uncertain b…
98,"RT @TonyCurran69: See you on the other side my friend, you got this, best of luck! If you can please go to one of the Twitter links you can…"
99,RT @calwhitejr: #MentalHealthMonday ... a person with a #mentalhealth issue #DiedSuddendly of #PoliceBrutality
100,"Share the #PleaseStayPledge with someone else to remind them that they matter, they are not alone, and resources ar… https://t.co/EGJDdfnW2O"
101,RT @saralizabaumann: In our upcoming editorial in @AMJPublicHealth @BhimsenDevkota and I reviewed literature regarding #mentalhealth and #h…
102,In our upcoming editorial in @AMJPublicHealth @BhimsenDevkota and I reviewed literature regarding #mentalhealth and… https://t.co/BoM75oUNgw
103,"RT @SickNotWeak: We Need To Start Treating Grieving For Our Pets Seriously - Therapist Can Help https://t.co/695evwrZAX

#SickNotWeak #Ment…"
104,I woke up from a nap and now I’m 4-1 wtf…..#mentalhealth
105,Thank you @JillDunlop1 for recognizing the rise of  #MentalHealth need. Targeted workforce investment &amp; technologic… https://t.co/ru7H4r26p7
106,"RT @AlessandraWhite: “Feelings of anxiety may stimulate the brain and body into a state of hyperarousal, as if it is facing a threat, makin…"
107,"RT @finkleyshow: Another exciting week of FINKLEY!

Monday: @nelsonestevez 
Tuesday: @staciedavishamilton 
Wednesday: @shondascott360 
Thur…"
108,The holiday season and Monday's can be overwhelming. Here's a reminder to take a few deep breaths to help you recen… https://t.co/FddivvpTxr
109,"RT @TUBEVRCLUB: QUEST 2 GIVEAWAY!👀

Enter now! ⬇️
https://t.co/TF7hoetkO7

To celebrate raising $24k for @YouAreRAD this year we are giving…"
110,"RT @RealDDP: Break the cycle of ""Hurt People Hurt People."" Healing yourself in turn helps heal others💥💎 #selfcare #healing #inspiration #mo…"
111,RT @jedfoundation: Congratulations @USC quarterback @CALEBcsw on winning the Heisman Trophy 🥳 check out the #Seizetheawkward #MentalHealth…
112,"""I am going to remind you about who you are by simply being who I am."" - Shikesh Sorathia

#quote #life… https://t.co/alDqkRgsX8"
113,"RT @intern_amanda1: Problem: people in regional Australia have difficulty accessing #Mentalhealth services, with long waiting lists to see…"
114,RT @InspiringChldrn: #NotAloneChallenge is here to raise awareness &amp; funds through a dynamic auction to provide free online mental health t…
115,RT @Place2placeFC: @adamhillscomedy  could u give us a share😊Mental health and well-being project @Place2placeFC  free football through Dec…
116,Australian Parliament Petition EN4643 - Make Medicare-subsidised *20 psychology sessions* a permanent change… https://t.co/x5jW041ET7
117,"RT @intern_amanda1: Problem: people in regional Australia have difficulty accessing #Mentalhealth services, with long waiting lists to see…"
118,"RT @NatChrisRod: Going live with Marla and Dave this evening at 6 pm pst. 

Visit their website: https://t.co/P8Qf0zWPKW

#podcast #podcast…"
119,i think i think too much sweater! Multiple sizes &amp; colors!! #Mentalhealth #MentalHealthMatters… https://t.co/MUfSIX5xWM
120,"RT @NatChrisRod: Going live with Marla and Dave this evening at 6 pm pst. 

Visit their website: https://t.co/P8Qf0zWPKW

#podcast #podcast…"
121,"You may have to give up Comfort for #Growth! 

#JoyTrain #Joy #SelfLove #Quote #MentalHealth #Mindfulness… https://t.co/Li3Dok7RM3"
122,"RT @NatChrisRod: Going live with Marla and Dave this evening at 6 pm pst. 

Visit their website: https://t.co/P8Qf0zWPKW

#podcast #podcast…"
123,"Pet therapy had been proven to be a helpful resource in helping people cope with #trauma. Recently in Ukraine, dog… https://t.co/XmLCNdq85J"
124,"RT @LEGOfoundation: One of the #BuldAWorldOfPlay Challenge winners, @IRDGlobal and their partners are working to co-create playhouses in ru…"
125,"RT @MentallyAwareNG: “Fear is the enemy of growth”. You can’t let fear take charge of your life. 
Remember you are stronger than you give y…"
126,"In the right place, you'll resonate... #Mentalhealth #Monday #motivation #IAMBELLFIT https://t.co/U8UCiQhqiJ"
127,RT @GavinGeddes7: @LisaThomasBooks Thanks Lisa. My life story #Soundtracktoalife last chapter happening now in real-time.#TrueStory #book #…
128,"RT @mysticcshadow: If someone puts you down, shames or tells you that you're too much because you have #mentalhealth, that shits on them -…"
129,RT @caroline_heary: The language we use to describe mental health issues is not a trivial issue. Language is highly complex &amp; has implicati…
130,"RT @TUBEVRCLUB: QUEST 2 GIVEAWAY!👀

Enter now! ⬇️
https://t.co/TF7hoetkO7

To celebrate raising $24k for @YouAreRAD this year we are giving…"
131,"RT @NateWorthington: I wasn’t okay earlier this week. TBH, I’ve not been okay for 2-3 weeks. So Wednesday I talked to my doctor about getti…"
132,"What do you tell yourself when you’re having impulses to throw yourself off a bridge? 

#Funny #MentalHealth… https://t.co/S1H6D4AArt"
133,"RT @TommyElGatito: #PaulThompson
#mentalhealth https://t.co/IZ5LUlCcZK"
134,"RT @HorstInsurance: Mental health is a growing concern in the workplace. Over the past few years, many employees have experienced mental he…"
135,Looking forward to tomorrow’s self-esteem sessions at @KensingPrimary Always lots of fun and smiley faces 🙂… https://t.co/U8v4gXnfWr
136,"RT @PhoebsBo: UK friends, I have a favour to ask. There’s an availability problem with one of my meds and I’m hoping someone might be able…"
137,"RT @drjenwolkin: When you feel down about the fact that healing work is exhausting AF, non-linear, and arduous...

I want you to remember:…"
138,"RT @1SunriseWarrior: “I live my life in the present with courage, purpose, and confidence. It wasn’t always this way. It took work to get h…"
139,RT @JimmyLeafTender: #PurplePeople #MentalHealth #Kindness
140,RT @JimmyLeafTender: #PurplePeople #MentalHealth #Fruit #Vegetable #Kindness #Español #MuchasFrutas #Venezuela 🇻🇪 https://t.co/1nisW3HZGj
141,"More than 1,200 families suing social media companies over kids' mental health https://t.co/O27F1vljDV… https://t.co/EiLUABSXJR"
142,"RT @JimmyLeafTender: #Oiseau @DaikiOe 

#PurplePeople #MentalHealth

🦤🦤🦤🪶🪶🪶🐓🐓🐓🦃🦃🦃🦤🦤🦤🦚🦚🦚🦜🦜🦜🦢🦢🦢🦩🦩🦩🕊🕊🕊🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤🦤 https://t…"
143,"RT @JimmyLeafTender: #PurplePeople is a social #sculpture #MentalHealth

#ShillSmithConcordia.mp3 by PurpleSmith @JimmyLeafTender on #Sound…"
144,"RT @a_jillion: ""A Jillion Ways To Say Goodbye To Your Pet""... 

Helping kids navigate the emotional journey of pet loss.

More: https://t.c…"
145,"RT @JimmyLeafTender: #MentalHealth #PurplePeople #Kindness #Fruit #Vegetable #Love #Clown #Fun #Spirituality #Travel 
 Thanks to @reefomadn…"
146,"RT @JimmyLeafTender: #HelloNurse

@HaitiNursing 

The #photo was taken in #montreal

The #model 
#infirmière Judith 🌀

No Chemicals 👌🏽

@Pe…"
147,RT @_theladsroom: Self care is necessary 💪🏼💚#MentalHealthMonday #mentalhealth #selfcare #selfimprovement #growthmindset https://t.co/WS9kPo…
148,"RT @JimmyLeafTender: #bipolar

#MentalHealth

#PurplePeople  https://t.co/TzrDl4QmKW"
149,"RT @gtmayes: @statnews reports that employers are investing more resources in their employees’ #mentalhealth, with many adding novel and ps…"
150,"RT @reefomadness: #PurplePeople #MentalHealth #Poetry #Sing #Read #ASMR #GreenIsRising

https://t.co/daavLpTCcV"
151,"I am human being not a diagnosis, a judgement or someone to not be included in life.
My circle is minuscule just ho… https://t.co/wLun9XL6Pc"
152,Self care is necessary 💪🏼💚#MentalHealthMonday #mentalhealth #selfcare #selfimprovement #growthmindset https://t.co/WS9kPobA0h
153,"RT @ReunionNeuro: @statnews reports that employers are investing more resources in their employees’ #mentalhealth, with many adding novel a…"
154,"RT @JimmyLeafTender: Swell space: I’m grateful!

@NoTHappyboi 
@reefomadness 
@andykehh 
@GrandpaMiroslav 
@iamanaminai 
@permapaleo (menti…"
155,"RT @JimmyLeafTender: You are zone 1b…so the question becomes, how do you cheat yourself into 2a 🤔 

@IndigenousMama1 

Boom! From Eric Toen…"
156,RT @reefomadness: #PurplePeople #MentalHealth #natureheals https://t.co/kzbUXa5TRG
157,"RT @TUBEVRCLUB: QUEST 2 GIVEAWAY!👀

Enter now! ⬇️
https://t.co/TF7hoetkO7

To celebrate raising $24k for @YouAreRAD this year we are giving…"
158,"RT @uprunningguelph: If you are looking to spend more time outside and meet new people, all while managing the stresses of everyday life, t…"
159,"RT @reefomadness: @kelgarcia72 @gtsbri @AloneLilWolf77 
A bit of Refo's madness lol it seems a bit chaotic of a list but to me it's organiz…"
160,"RT @JimmyLeafTender: Wow…9 years today? I didn’t really start using it until last year tho…lol

Will you be staying on Twitter? 
I will. Wh…"
161,"A mountain of evidence links poor sleep to #mentalhealth issues, &amp; today's adolescents sleeping less than ever: Avg… https://t.co/4eScjbbu4S"
162,RT @HealingSoundsTx: GoodTherapy | How to Get the Most Out of Your Therapy Journey https://t.co/2m9kOYgXyL #mentalhealth #wellness #therapy…
163,RT @obj_news: It was years in the making but a community effort to vastly improve the mental health unit at the Queensway Carleton Hospital…
164,"RT @iamanaminai: #PermaTab #Heal #MentalHealth #PurplePeople #ASMR #Poetry #CheckInn
💜
https://t.co/bL9MGd5eku"
165,"RT @iamanaminai: #PermaTab #Heal #MentalHealth #PurplePeople #ASMR #Poetry #CheckInn
Live poetry with @JainabaTouray2 SENSATIONAL 👏 👏 👏 👏 👏…"
166,"RT @SamboujangT: #PermaTab #Heal #MentalHealth #PurplePeople #ASMR #Poetry #CheckInn

https://t.co/DvtdDE6xBK"
167,"RT @celsamejia7: ¡¡Se feliz hoy!! 

#nuevodia #nuevasemana #lunes #alegria #felicidad #amorpropio #corazonalegre #amor #autocuidado #saludm…"
168,"RT @reefomadness: It took a while when I wrote it originally to even get myself to sit down and think about these things, then to take the…"
169,"If someone puts you down, shames or tells you that you're too much because you have #mentalhealth, that shits on th… https://t.co/vUEqIDQIMn"
170,"RT @JimmyLeafTender: #Korea

#Permaculture

#MentalHealth

#PurplePeople  https://t.co/MtvnkuMmOV"
171,"RT @JimmyLeafTender: #hug

#hugs

#HugClub

#MentalHealth

#PurplePeople https://t.co/rbl8AQbwGC"
172,"RT @JimmyLeafTender: #Hug

#Hugs

#HugClub

#MentalHealth

#PurplePeople https://t.co/OXD3qiynsj"
173,"RT @JimmyLeafTender: #Hug #Hugs

#HugClub

#MentalHealth

#PurplePeople  https://t.co/5BqIOcgpge"
174,"Want to land a job like ""Clinician - Per Diem"" at Spectrum? Applicant tracking systems look for specific keywords.… https://t.co/5p31ev1X7z"
175,"RT @Jordan4MLA: To access #MentalHealth support, most Albertans have to pay for it, frequently costing hundreds or even thousands of dollar…"
176,"RT @JimmyLeafTender: Superheroes DO exist! 

#PurplePeople presents: ✨#SoulPuppies✨ with #SpecialGuest ⁦@jennynazak⁩ author ✍️ of ‘#DeepGre…"
177,"RT @intern_amanda1: Problem: people in regional Australia have difficulty accessing #Mentalhealth services, with long waiting lists to see…"
178,"RT @CMHA_NTL: We need your support to bring universal mental healthcare to all Canadians. 

Help us reach 5,000 signatures before the Gover…"
179,"RT @reefomadness: #MentalHealth #News #CheckInn #Share #Listen #PurplePeople #Poetry

https://t.co/2rCMk7riDu"
